image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/14-932-806-03.jpg,GIGABYTE,4.8,(158),GIGABYTE Gaming Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card GV-R9060XTGAMING OC-16GD RX 9060XT,GV-R9060XTGAMING OC-16GD,$529.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-941-04.jpg,MSI,4.7,(210),MSI SHADOW GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 12G SHADOW 3X OC,RTX 5070 12G SHADOW 3X OC,$809.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-761-19.jpg,GIGABYTE,4.3,(137),GIGABYTE Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090GAMING OC-32GD,GV-N5090GAMING OC-32GD,"$4,699.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-919-07.jpg,MSI,4.7,(136),MSI Gaming GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G GAMING TRIO OC,RTX 5090 32G GAMING TRIO OC,"$4,699.99 ",$19.99 Shipping,
https://c1.neweggimages.com/productimage/nb300/14-126-756-12.png,ASUS,4.6,(248),ASUS PRIME GeForce RTX 5070 Ti 16GB 256-Bit GDDR7 PCI Express 5.0 DLSS 4.0 Graphics Card PRIME-RTX5070TI-16G,PRIME-RTX5070TI-16G,"$1,119.99 ",Free Shipping,"$1,187.49"
https://c1.neweggimages.com/productimage/nb300/14-137-977-06.jpg,MSI,4.6,(166),MSI SHADOW GeForce RTX 5060 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5060 Ti 16G SHADOW 2X OC PLUS,RTX 5060 Ti 16G SHADOW 2X OC PLUS,$779.99 ,Free Shipping,$811.19
https://c1.neweggimages.com/productimage/nb300/14-126-743-11.png,ASUS,4.7,(173),ASUS TUF Gaming GeForce RTX 5080 16GB GDDR7 OC Edition TUF-RTX5080-O16G-GAMING PCI-Express 5.0 DLSS 4.0 Graphics Card,TUF-RTX5080-O16G-GAMING,"$1,899.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-076-01.jpg,ASRock,4.1,(152),ASRock Challenger Arc A380 6GB GDDR6 PCI Express 4.0 ITX Video Card A380 CLI 6G OC,A380 CLI 6G OC,$139.99 ,Free Shipping,$148.49
https://c1.neweggimages.com/productimage/nb300/14-137-878-01.png,MSI,4.3,(32),MSI Ventus GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card RTX 3050 VENTUS 2X 6G OC,RTX 3050 VENTUS 2X 6G OC,$259.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-134-03.png,ASRock,4.5,(26),ASRock Challenger Arc B570 10GB GDDR6 PCI Express 4.0 x8 ATX Graphics Card B570 CL 10GO,B570 CL 10GO,$259.99 ,Free Shipping,$275.99
https://c1.neweggimages.com/productimage/nb300/14-137-933-07.jpg,MSI,4.6,(393),MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 TI 16G VENTUS 3X OC,RTX 5070 TI 16G VENTUS 3X OC,"$1,179.99 ",Free Shipping,
